Playlist;URI
Taylor Swift;37i9dQZF1DX5KpP2LN299J
Ariana Grande;37i9dQZF1DX1PfYnYcpw8w
Kendrick Lamar;37i9dQZF1DX5EkyRFIV92g
Shawn Mendes;37i9dQZF1DX5U6fr1hAMvg
Maroon 5;37i9dQZF1DX7KWRIlkUpsl
Post Malone;37i9dQZF1DWSWllk9RmgZM
Kygo;37i9dQZF1DX60EDqDORwwI
The Chainsmokers;37i9dQZF1DX46HBMApdlID
Adele;37i9dQZF1DWZUozJiHy44Y
Drake;37i9dQZF1DX7QOv5kjbU68
Justin Bieber;37i9dQZF1DXc2aPBXGmXrt
Coldplay;37i9dQZF1DXaQm3ZVg9Z2X
Kanye West;37i9dQZF1DX7qQG2hCGiwy
Bruno Mars;37i9dQZF1DX177vQ7mVRmP
Ed Sheeran;37i9dQZF1DWWxPM4nWdhyI
Eminem;37i9dQZF1DX1clOuib1KtQ
Beyonce;37i9dQZF1DX2oU49YwtXI2
Avicii;37i9dQZF1DXcXBWjiVEM8R
Marshmello;37i9dQZF1DXbraCN8mShma
Calvin Harris;37i9dQZF1DX5wLEUgIR5Wy
Justin Timberlake;37i9dQZF1DWSPcmr9PNm5H
Frank Sinatra;37i9dQZF1DX4H3NUOwVLXj
Charlie Puth;37i9dQZF1DWT9K6NyjGGdK
Michael Buble;37i9dQZF1DX5kVmFQxhnLW
Martin Garrix;37i9dQZF1DX94qaYRnkufr
Enrique Iglesias;37i9dQZF1DWVNxbAc9fvM9
John Mayer;37i9dQZF1DWYrlaUEYy4Vg
Future;37i9dQZF1DWVstK6FYh8Nw
Elton John;37i9dQZF1DX7VulteLVOkq
50 Cent;37i9dQZF1DZ06evO1Za1Q4
Lorde;37i9dQZF1DX6dG5zUb3q3v
Lil Wayne;37i9dQZF1DZ06evO2ZpGiQ
Wiz Khalifa;37i9dQZF1DZ06evO0yI3tK
Fifth Harmony;37i9dQZF1DXdD0r9eyeVDM
Lana Del Ray;37i9dQZF1DX3XuY09ikg3x
Norah Jones;37i9dQZF1DZ06evO1A8iR2
James Arthur;37i9dQZF1DX3Csy1LFxjkI
One Republic;37i9dQZF1DXbZBKpgxsyXU
The Script;37i9dQZF1DXaailowMv8Ya
Stevie Wonder;37i9dQZF1DWWYIyS8LLUDj
Jason Mraz;37i9dQZF1DX1N0BBPf4rGP
John Legend;37i9dQZF1DX8DxW4iib3Eq
Pentatonix;37i9dQZF1DZ06evO1c6rSg
Alicia Keys;37i9dQZF1DZ06evO275qeI
Usher;37i9dQZF1DZ06evO1ahqM0
Snoop Dogg;37i9dQZF1DZ06evO4jkBCE
Macklemore;37i9dQZF1DZ06evO2aGYZW
Zara Larsson;37i9dQZF1DWTDnCxoyoneS
JayZ;37i9dQZF1DZ06evO1XGbvi
Rihanna;37i9dQZF1DWWhBhYl3ZMvY
